Time (s),4 - short,2 - short,0 - short,8 - short,1 - short
0.078524105,0.000319385,0.000305489,0.000116914,0.000373028,0.000309596
0.088328347,0.000320318,0.000305802,0.00011691,0.000371457,0.000309597
0.099355839,0.000320627,0.000305803,0.000117832,0.000369267,0.000310223
0.111759,0.000320937,0.000305491,0.000118443,0.000367694,0.000309599
0.125709131,0.000321235,0.000305805,0.000119656,0.000366112,0.000310226
0.141398832,0.000322147,0.000305793,0.000119971,0.000364208,0.000310228
0.159044549,0.000323387,0.000305807,0.000121814,0.000361394,0.000309917
0.178889558,0.00032369,0.000306407,0.000122722,0.000358269,0.000310219
0.201207235,0.000324608,0.000306709,0.000124259,0.000355431,0.000310234
0.22630474,0.00032493,0.000306411,0.000126086,0.000351979,0.000310224
0.254527122,0.000326478,0.000306712,0.000127633,0.000348212,0.000310214
0.286261946,0.000327704,0.000306715,0.000130085,0.000343816,0.00031023
0.321944535,0.000328934,0.000307316,0.000132844,0.000338489,0.000310546
0.362063527,0.000330481,0.000307619,0.000134701,0.000333169,0.000310238
0.407167494,0.000331719,0.000307922,0.000138704,0.000327514,0.00031023
0.457872003,0.000333875,0.000308239,0.000142082,0.000320625,0.00031056
0.514867723,0.000335738,0.00030853,0.000145787,0.000312827,0.000310553
0.578929007,0.000337894,0.000309147,0.000150108,0.000304077,0.000310572
0.650924087,0.000339745,0.000310065,0.000155372,0.000295014,0.000310879
0.731825829,0.000342556,0.000310359,0.000160631,0.000284112,0.000310274
0.822723687,0.000345038,0.000310966,0.000166824,0.000272581,0.000310283
0.924837351,0.000347844,0.000311887,0.000173638,0.000259522,0.000311204
1.03953087,0.000351562,0.000312485,0.000181997,0.000246131,0.000311214
1.16832948,0.000355007,0.000312498,0.000189737,0.000229987,0.000310913
1.31293631,0.00035753,0.000314636,0.000199018,0.000213225,0.000311551
1.47525203,0.000361308,0.000314941,0.000209208,0.000194313,0.000311564
1.65739584,0.000364791,0.000316175,0.000220315,0.000174172,0.000311578
1.861727,0.000368605,0.0003171,0.000232306,0.000153182,0.000310967
2.09086895,0.000371812,0.000318629,0.000245214,0.0001298,0.000311609
2.34773469,0.000374748,0.000319566,0.000258393,0.000106896,0.000311
2.6355536,0.00037741,0.000321437,0.000272459,8.48E-05,0.000311329
2.95789766,0.000378238,0.000322681,0.000286478,6.47E-05,0.000311345
3.31871057,0.000378171,0.000324577,0.000300766,4.80E-05,0.000311361
3.72233438,0.000375951,0.000325542,0.000314996,3.48E-05,0.000311375
4.17353678,0.000371292,0.000327171,0.000327655,2.39E-05,0.000310801
4.67753601,0.000362303,0.000328524,0.000338698,1.75E-05,0.000310509
5.24002075,0.000346826,0.000329322,0.000348435,1.78E-05,0.000309904
5.86716652,0.000315244,0.000330872,0.000350616,3.33E-05,0.000310562
6.56564426,0.00026209,0.000332652,0.000346596,7.19E-05,0.000311243
7.34261847,0.000191419,0.000333516,0.000335327,0.000143335,0.000311924
8.20572948,0.000116911,0.000334497,0.000317281,0.000234672,0.000311645
9.16306305,6.64E-05,0.000333324,0.000297973,0.000320998,0.000307886
10.2230911,5.24E-05,0.000325734,0.000280403,0.000374292,0.00029747
11.3945942,8.59E-05,0.000309579,0.000256121,0.000389196,0.000278923
12.6865425,0.000185618,0.000283307,0.00022412,0.000380869,0.000252084
14.1079416,0.000302638,0.000250314,0.000204491,0.000363704,0.000213027
15.6676378,0.000362309,0.000213551,0.000218915,0.000360062,0.000155741
17.3740635,0.000375534,0.000163806,0.000270388,0.000375693,7.19E-05
19.2349377,0.000363159,0.000119353,0.000325891,0.000376333,-7.53E-07
21.2569065,0.000334869,0.000114782,0.000336674,0.000272138,-3.88E-05
23,0.00029183,0.000140852,0.000318064,9.05E-05,-5.36E-05
25.3505707,0.000244024,0.000189546,0.000285298,-8.81E-06,-3.10E-05
27.8664379,0.000216319,0.000250505,0.000239508,8.84E-05,7.21E-05
30,0.000199524,0.000314179,0.000195872,0.000348582,0.00026085
